LP.;Kod 9-znakowy;Nazwa stacji;Rzeka;Rok założenia;Szerokość geograficzna;Długość geograficzna;Wysokość n.p.m.
414;251140060;Sobolice;Nysa Łużycka (174);;51 23 18;14 58 30;150
415;251140110;Sanice;Nysa Łużycka (174);2018;51 24 22;14 58 33;150
416;251150030;Nowogród Bobrzański;Bóbr (16);1948;51 47 58;15 15 11;102
417;251150080;Grabik;Czarna (164382);1946;51 39 09;15 06 41;166
418;251150110;Żagań;Bóbr (16);1946;51 38 59;15 17 37;96
419;251150130;Łozy;Kwisa (166);1949;51 29 22;15 22 01;128
420;251150180;Tomaszów Bolesławiecki;Bobrzyca (1638);;51 16 35;15 40 39;186
421;251150220;Nowogrodziec;Kwisa (166);1949;51 11 44;15 23 43;206
422;251150280;Twardocice;Gajowa (138664);1949;51 05 26;15 44 51;253
423;251150290;Sulików;Czerwona Woda (1744);1947;51 04 37;15 03 54;214
424;251150320;Bierna;Czerwona Woda (1744);;51 02 20;15 06 59;265
425;251150340;Gryfów Śląski;Kwisa (166);1947;51 01 36;15 24 34;312
426;251150350;Lubomierz;Oldza (1664);1948;51 00 55;15 30 10;365
427;251150360;Świerzawa;Kaczawa (138);1948;51 01 01;15 53 20;299
428;251150390;Złotniki Lubańskie;Zb. Złotniki (166513);;51 00 50;15 20 26;360
429;251150410;ŚWIERZAWA;Kaczawa (138);;51 01 01;15 53 20;260
430;251150420;STANKOWICE;Kwisa (166);2019;51 01 00;15 18 49;335
431;251150430;Białków;Lubsza (1748);2024;51 46 37;15 01 18;85
432;251150440;Siecieborzyce;Bóbr (16);2024;51 39 56;15 32 13;150
433;251150450;Pieńsk;Nysa Łużycka (174);2024;51 15 36;15 02 25;164
434;251150460;Tomaszów Bolesławiecki II;Bobrzyca (1638);2023;51 16 50;15 40 35;185
435;251150470;Miedziana;Czerwona Woda (1744);2023;51 01 15;15 06 59;295
436;251160110;Osetno;Barycz (14);1949;51 37 55;16 27 51;87
437;251160150;POLKOWICE DOLNE;Mokrzyca (16418);1949;51 30 02;16 03 22;160
438;251160170;Chwałkowice;Rudawka (145444);1978;51 26 54;16 36 47;178
439;251160190;LUBIN;Zimnica (1392);1947;51 24 43;16 13 01;131
440;251160220;Oborniki Śląskie;Odra (1);1948;51 17 22;16 55 50;160
441;251160290;Jawor;Nysa Szalona (1384);1946;51 03 48;16 11 01;188
442;251160320;RADZYŃ;Obrzyca (156);2002;51 52 21;16 02 16;60
443;251160360;GŁOGÓW;Odra (1);2013;51 40 21;16 03 36;75
444;251160420;Pysząca;Odra (1);2023;51 15 23;16 40 47;110
445;251160430;Lubin;Zimnica (1392);2023;51 24 48;16 12 23;138
446;251170030;Witaszyce;Lutynia (1852);;51 56 44;17 33 12;130
447;251170090;Smolice;Rdęca (1464);1956;51 41 39;17 10 47;105
448;251170140;Milicz;Barycz (14);1947;51 30 40;17 16 38;118
449;251170210;Trzebnica;Kanał Trzebnicki (14428);1947;51 19 22;17 04 05;155
450;251170270;Bierutów;Widawa (136);1947;51 07 08;17 32 41;141
451;251170290;Namysłów;Widawa (136);1946;51 03 57;17 42 57;152
452;251170360;Ostrów Wielkopolski;Ołobok (1844);2005;51 39 39;17 52 24;123
453;251170380;WOLA KSIĄŻĘCA;Lutynia (1852);2018;51 57 41;17 35 21;118
454;251170430;OSTRZESZÓW II;Dąbrówka (1412);2020;51 26 04;17 54 56;186
455;251170440;Drołtowice;Widawa (136);2023;51 20 06;17 35 46;200
456;251180020;Zbiersk;Czarna Struga (183566);1950;51 56 36;18 09 01;125
457;251180030;Dobra;Teleszyna (183312);1949;51 55 41;18 37 22;120
458;251180040;Poddębice;Ner (1832);1949;51 53 08;18 57 35;130
459;251180050;Lisków;Swędrnia (18482);2005;51 50 07;18 24 36;147
460;251180090;Sieradz;Warta (18);;51 35 35;18 41 14;140
461;251180140;Złoczew;Oleśnica (1818);1949;51 25 16;18 35 57;175
462;251180150;Mirków;Prosna (184);1971;51 18 37;18 08 47;156
463;251180160;Osjaków;Warta (18);1946;51 16 59;18 47 01;156
464;251180190;Siemianice;Prosna (184);1951;51 10 58;18 08 35;180
465;251180240;Jastrzygowice;Prosna (184);1956;51 00 04;18 27 25;202
466;251180310;Kiełczygłów;Nieciecz (18292);2005;51 14 14;18 59 06;175
467;251180320;Kraszewice;Łużyca (18438);2005;51 31 49;18 12 17;131
468;251180330;Działoszyn;Warta (18);2010;51 07 12;18 52 26;191
469;251180350;SIERADZ-DZIGORZEW;Warta (18);2017;51 37 27;18 42 17;128
470;251190140;Plucice;Luciąża (25452);1989;51 12 13;19 36 07;204
471;251190150;Dobryszyce;Widawka (182);1961;51 08 20;19 25 42;259
472;251190160;Przedbórz;Pilica (254);1970;51 05 26;19 52 31;190
473;251190190;Łask;Grabia (1828);2005;51 35 08;19 10 43;189
474;251190210;Szczerców;Widawka (182);2005;51 20 27;19 07 09;160
475;251190220;Dobryszyce II;Widawka (182);2011;51 08 51;19 24 30;216
476;251190230;Jarosty;Luciąża (25452);2013;51 27 45;19 41 31;197
477;251190240;Wierzbowa;Ner (1832);2024;51 59 12;19 04 46;111
478;251190250;Bełchatów;Widawka (182);2023;51 22 47;19 23 49;207
479;251200030;Skierniewice;Bzura (272);1895;51 57 55;20 09 37;128
480;251200050;Sadkowice;Pilica (254);2025;51 43 32;20 31 03;172
481;251200080;Białobrzegi;Pilica (254);1947;51 38 54;20 56 25;116
482;251200130;Opoczno;Drzewiczka (2548);1946;51 22 44;20 14 04;200
483;251200140;Ruszkowice;Radomka (252);2002;51 20 21;20 39 57;210
484;251200150;Łaziska;Radomka (252);1952;51 19 26;20 55 33;180
485;251200170;Chełsty;Czarna (Maleniecka) (2544);1949;51 12 57;20 08 55;220
486;251200220;Włochów;Czarna (2544);1972;51 05 56;20 36 44;345
487;251200240;Stanowiska;Czarna (Maleniecka) (2544);1956;51 02 31;20 22 17;305
488;251200250;Suchedniów;Kamienna (234);1951;51 02 59;20 49 50;265
489;251200270;Dąbrówka Stara;Pilica (254);2002;51 46 49;20 44 13;174
490;251200290;Teofilów;Pilica (254);2002;51 31 41;20 10 58;150
491;251200320;Mszczonów;Bzura (272);2024;51 59 03;20 29 50;161
492;251210040;JARCZEW;Wilga (2536);1967;51 48 53;21 58 24;180
493;251210120;PUŁAWY;Wisła (2);1871;51 24 46;21 57 58;142
494;251210230;Starachowice;Kamienna (234);1956;51 02 30;21 03 21;265
495;251210240;Brody Iłżeckie;Kamienna (234);1956;51 01 07;21 11 49;190
496;251210320;Kazanów;Iłżanka (236);2023;51 16 42;21 28 03;158
497;251220040;Radzyń Podlaski;Tyśmienica (248);1992;51 46 09;22 36 03;150
498;251220230;Ostrówek-Kolonia;Tyśmienica (248);2024;51 35 37;22 36 01;148
499;251220240;Zadworze;Wyżnica (2336);2025;51 00 55;22 13 50;254
500;251220250;Ostrów Lubelski;Tyśmienica (248);2024;51 29 46;22 52 11;157
501;251220260;Turze Rogi;Krzna (267144);2024;51 55 37;22 27 50;159
502;251230120;Bezek;Wieprz (24);1974;51 10 38;23 15 49;224
503;251230220;Depułtycze Królewskie;Uherka (2671434);2025;51 04 59;23 26 10;216
504;251230240;Studzianka;Zielawa (2671448);2024;51 55 54;23 12 53;143
505;252140070;Boleszkowice;Dopływ z Boleszkowic (191298);1961;52 43 37;14 34 00;50
506;252140090;Kostrzyn Nad Odrą;Maszówek (1894);1956;52 35 55;14 39 40;26
507;252140150;Maszewo;Odra (1);1955;52 04 11;14 55 08;68
508;252140160;Trzcińsko-Zdrój;Rurzyca (1886592);;52 57 52;14 35 17;53
509;252140210;Boczów;Rzepia (1786);2023;52 19 01;14 56 19;79
510;252140220;Chojna;Rurzyca (1918);2024;52 56 27;14 24 15;49
511;252150050;Krzyż;Noteć (188);1957;52 52 52;15 59 01;34
512;252150070;Drezdenko;Noteć (188);1949;52 51 17;15 50 28;31
513;252150180;Lubinicko-Świebodzin;Obrzyca (156);1975;52 14 34;15 32 43;88
514;252150270;BABIMOST;Gniła Obra (1568);2007;52 08 37;15 48 12;57
515;252150350;Kleszczewo;Obra (1878);2024;52 27 21;15 23 23;93
516;252150360;Wityń;Obrzyca (156);2025;52 16 03;15 36 40;76
517;252160050;Ryczywół;Wełna (186);1948;52 48 57;16 50 20;70
518;252160110;Szamotuły-Baborówka;Sama (1872);1946;52 35 04;16 38 17;74
519;252160160;Paproć;Obra (1878);1957;52 18 16;16 10 59;77
520;252160230;Wielichowo;Obra (1878);1947;52 06 50;16 21 23;65
521;252160350;Kopaszewo;Kanał Mosiński (1856);2023;52 00 12;16 49 06;91
522;252160370;Wronki;Warta (18);2024;52 41 33;16 22 23;70
523;252170060;Janowiec Wielkopolski;Wełna (186);1946;52 45 17;17 27 44;95
