LP.;Kod 9-znakowy;Nazwa stacji;Rzeka;Rok założenia;Szerokość geograficzna;Długość geograficzna;Wysokość n.p.m.
663;253220370;Sawino;Narew (26);2023;53 10 08;22 51 53;118
664;253220380;Przytulanka;Nereśl (2618);2026;53 22 47;22 50 54;147
665;253230020;RÓŻANYSTOK;Sidra (26214);1960;53 38 07;23 24 05;160
666;253230030;JANÓW;Brzozówka (2624);1949;53 27 35;23 13 46;161
667;253230060;JAŁÓWKA;Sokołda (26162);1957;53 21 14;23 20 26;170
668;253230110;FASTY;Supraśl (2616);1949;53 10 39;23 01 33;114
669;253230160;SUPRAŚL;Supraśl (2616);2005;53 12 39;23 19 57;137
670;253230170;NOWOSIÓŁKI;Supraśl (2616);;53 10 30;23 31 35;132
671;253230180;Drahle;Sokołda (26162);2012;53 23 08;23 33 18;162
672;253230230;Zarzeczany;Supraśl (2616);2023;53 06 06;23 41 04;146
673;253230250;Śluza Tartak;Czarna Hańcza (64);2025;53 52 57;23 27 42;108
674;254140010;Dziwnów;Morze Bałtyckie (0);1955;54 01 20;14 43 54;3
675;254150050;Białogard;Parsęta (44);2023;54 00 15;15 58 30;23
676;254150060;Gąski;Czerwona (454);2024;54 14 17;15 55 02;8
677;254160020;Darłowo;Wieprza (46);1946;54 25 60;16 22 06;12
678;254160030;Sławno;Wieprza (46);1946;54 21 06;16 40 13;25
679;254160040;Jeżyczki;Wieprza (46);1949;54 20 05;16 23 26;10
680;254160060;Sierakowo;Wieprza (46);1948;54 12 59;16 30 59;50
681;254160080;Polanów;Wieprza (46);1948;54 07 07;16 40 59;80
682;254160110;Miastko;Wieprza (46);1952;54 00 56;16 58 49;160
683;254160130;Ciecholub;Wieprza (46);2024;54 10 22;16 52 28;115
684;254160140;Kłanino;Parsęta (44);2024;54 01 39;16 28 70;114
685;254160150;Mokre;Ząbrza (456182);2024;54 10 13;16 24 06;76
686;254170020;Smołdzino;Łupawa (474);1948;54 40 02;17 12 06;4
687;254170040;Karżniczka;Łupawa (474);1974;54 29 15;17 13 43;75
688;254170060;Mikorowo;Łeba (476);1980;54 24 30;17 34 50;117
689;254170070;Bukowina;Łupawa (474);1949;54 25 20;17 50 36;155
690;254170130;Niezabyszewo;Słupia (472);;54 08 18;17 25 24;160
691;254170140;Kościerzyna;Wierzyca (298);1948;54 07 43;17 57 43;190
692;254170190;Słupsk;Słupia (472);;54 27 48;17 02 08;17
693;254170210;Borucino;Radunia (4868);2005;54 15 13;17 59 30;
694;254170280;Struszewo;Słupia (472);2024;54 10 44;17 21 26;131
695;254170310;Objezierze;Słupia (472);2024;54 18 01;17 04 04;142
696;254170320;Jasień;Łupawa (474);2023;54 17 08;17 38 13;151
697;254170330;Tuchomko;Słupia (472);2024;54 07 53;17 22 06;
698;254180010;Rozewie;Bałtyk (0);1946;54 49 46;18 20 08;54
699;254180050;Wejherowo;Reda (478);1946;54 35 54;18 16 13;22
700;254180060;Gdynia;Bałtyk (0);1927;54 31 08;18 33 34;2
701;254180070;Tępcz;Łeba (476);1948;54 30 27;18 02 20;178
702;254180090;Gdańsk-Rębiechowo;Morze Bałtyckie (0);1982;54 22 16;18 29 12;146
703;254180130;Goręczyno;Radunia (4868);1998;54 15 43;18 09 45;177
704;254180140;Ostrzyce-Brodnica Górna;Radunia (4868);2004;54 16 28;18 05 29;213
705;254180260;Gdańsk-Port Północny;Bałtyk (0);1986;54 23 59;18 41 52;2
706;254180270;Zelewo;Reda (478);2024;54 37 23;18 04 31;43
707;254180280;Szemud;Reda (478);2024;54 29 35;18 12 49;154
708;254180290;Szymankowo;Święta (1974398);2024;54 04 27;18 55 53;3
709;254190020;Nowa Pasłęka;Zalew Wiślany (5119);1949;54 25 34;19 44 49;2
710;254190050;Frombork;Zalew Wiślany (5119);1981;54 21 37;19 40 38;2
711;254190070;Tolkmicko;Zalew Wiślany (5119);1981;54 19 31;19 31 21;2
712;254190080;Pierzchały;Pasłęka (56);2005;54 18 02;19 50 57;11
713;254190120;Kmiecin;Szkarpawa (514);1962;54 11 16;19 09 50;0
714;254190150;SŁOBITY;Zalew Wiślany (5119);1948;54 07 47;19 45 05;55
715;254190160;Pasłęk;Wąska (5456);1948;54 04 07;19 38 10;14
